pincode,city,state,global_cargo_region,is_oda,deliverable,safexpress_is_oda,bluedart_region
523320,Markapur,Andhra Pradesh,S2,1,1,,SOUTH
574237,Moodabidri,Karnataka,S2,1,1,,SOUTH
695582,Thiruvananthapuram,Kerala,S3,0,1,0,SOUTH
605203,Viluppuram,Tamil Nadu,S2,0,1,,SOUTH
713156,Guskhara,West Bengal,E2,1,1,,EAST
140109,Mohali,Punjab,N2,1,1,0,NORTH
462004,Bhopal,Madhya Pradesh,C2,0,1,0,WEST
741234,Kalyani,West Bengal,E2,0,1,,EAST
532148,Rajam,Andhra Pradesh,S2,1,1,,SOUTH
360450,Upleta,Gujarat,,1,1,,WEST
609303,Karaikal,Pondicherry,S2,1,1,,SOUTH
324003,Kota,Rajasthan,N2,0,1,0,NORTH
181103,Jammu,Jammu & Kashmir,,0,1,0,
782440,Kampur Town,Assam,NE2,1,1,,
829113,Phusro,Jharkhand,E2,1,1,,EAST
848205,Singhia,Bihar,E2,0,1,,EAST
301044,Alwar,Rajasthan,N2,,0,,NORTH
503223,Armoor,Telangana,S2,0,1,,SOUTH
790105,Tawang,Arunachal Pradesh,NE2,0,1,,NE
143513,Ajnala,Punjab,N2,0,1,,NORTH
388230,Umreth,Gujarat,,1,1,,WEST
416204,Kolhapur,Maharashtra,W2,0,1,,WEST
691330,Ayoor,Kerala,S3,1,1,0,SOUTH
394111,Kadodara,Gujarat,,1,1,,WEST
248171,Dehradun,Uttarakhand,N2,0,1,0,NORTH
370627,Dayapar,Gujarat,,0,1,,WEST
144306,Dasuya,Punjab,N2,1,1,,NORTH
152132,Abohar,Punjab,N2,1,1,,NORTH
518001,Kurnool,Andhra Pradesh,S2,0,1,0,SOUTH
534123,Tanuku,Andhra Pradesh,S2,0,1,,SOUTH
177024,Jahu,Himachal Pradesh,N3,0,1,,NORTH
416411,Kavathe Mahankal,Maharashtra,W2,0,1,,WEST
695547,Thiruvananthapuram,Kerala,S3,0,1,,SOUTH
829110,Peterbar,Jharkhand,E2,0,1,,EAST
209881,Lucknow,Uttar Pradesh,N2,1,1,,NORTH
500076,Hyderabad,Telangana,S1,0,1,0,SOUTH
518553,Chagalamarri,Andhra Pradesh,S2,1,1,,SOUTH
535558,Bobbili,Andhra Pradesh,S2,1,1,,SOUTH
686033,Kottayam,Kerala,S3,1,1,0,SOUTH
277216,Bariya,Uttar Pradesh,N2,0,1,,NORTH
583212,Hagaribommanahalli,Karnataka,S2,1,1,,SOUTH
638660,Palladam,Tamil Nadu,S2,1,1,,SOUTH
301030,Alwar,Rajasthan,N2,1,1,0,NORTH
285196,Orai,Uttar Pradesh,N2,0,1,,NORTH
485774,Maihar,Madhya Pradesh,C2,1,1,,WEST
721656,Bajkul,West Bengal,E2,1,1,,EAST
173214,Solan,Himachal Pradesh,N3,1,1,,NORTH
110089,Delhi,Delhi,N1,0,1,0,NORTH
415409,Islampur,Maharashtra,W2,1,1,,WEST
854109,Purnia,Bihar,E2,0,1,,EAST
631213,Arakkonam,Tamil Nadu,S2,1,1,,SOUTH
534247,Bhimavaram,Andhra Pradesh,S2,0,1,,SOUTH
174303,Una-HP,Himachal Pradesh,N3,1,1,0,NORTH
390003,Vadodara,Gujarat,,0,1,0,WEST
312002,Chittaurgarh,Rajasthan,N2,1,1,,NORTH
305926,Badnaur,Rajasthan,N2,1,1,,NORTH
844103,Hajipur,Bihar,E2,0,1,,EAST
627908,Kovilpatti,Tamil Nadu,S2,1,1,0,SOUTH
494010,Bastar,Chhattisgarh,C2,0,1,,WEST
712248,Dankuni,West Bengal,E2,0,1,,EAST
576282,Kundapura,Karnataka,S2,0,1,,SOUTH
497111,Pathalgaon,Chhattisgarh,C2,0,1,,WEST
643234,Coonoor,Tamil Nadu,S2,1,1,,SOUTH
490021,Raipur,Chhattisgarh,C1,0,1,,WEST
242005,Shahjahanpur,Uttar Pradesh,N2,1,1,,NORTH
415710,Khed,Maharashtra,W2,1,1,,WEST
570016,Mysore,Karnataka,S2,0,1,0,SOUTH
828142,Dhanbad,Jharkhand,E2,1,1,0,EAST
678702,Palakkad,Kerala,S3,0,1,,SOUTH
731214,Dubrajpur,West Bengal,E2,1,1,,EAST
630312,Thiruvadanai,Tamil Nadu,S2,1,1,,SOUTH
638313,Erode,Tamil Nadu,S2,1,1,,SOUTH
403204,Goa,Goa,W2,0,1,,WEST
302004,Jaipur,Rajasthan,N2,0,1,0,NORTH
686674,Muvattupuzha,Kerala,S3,0,1,,SOUTH
742122,Baharampur,West Bengal,E2,1,1,,EAST
201010,Ghaziabad,Uttar Pradesh,N1,0,1,0,NORTH
411027,Pune,Maharashtra,W1,0,1,0,WEST
721461,Contai,West Bengal,E2,0,1,,EAST
802301,Arrah,Bihar,E2,0,1,,EAST
573123,Shanivarasanthe,Karnataka,S2,0,1,,SOUTH
824127,Daudnagar,Bihar,E2,0,1,,EAST
127306,Charkhi Dadri,Haryana,N2,0,1,,NORTH
389152,Dahod,Gujarat,,1,1,,WEST
143502,Amritsar,Punjab,N2,0,1,0,NORTH
799015,Agartala,Tripura,NE2,0,1,,NE
230140,Lalganj Ajhara,Uttar Pradesh,N2,0,1,,NORTH
584104,Raichur,Karnataka,S2,1,1,,SOUTH
382750,Viramgam,Gujarat,,0,1,,WEST
302011,Jaipur,Rajasthan,N2,0,1,0,NORTH
391530,Vadodara,Gujarat,,0,1,0,WEST
148019,Malerkotla,Punjab,N2,0,1,,NORTH
533238,Mandapeta,Andhra Pradesh,S2,1,1,,SOUTH
741174,Katwa,West Bengal,E2,,0,,EAST
